storage,scenario,timepoint,SOC_MWh
cats_138,climate_1,2035-01-01T01:00:00.000000-0800,8.299017058960821e-18
cats_139,climate_1,2035-01-01T01:00:00.000000-0800,-3.611748487092337e-18
cats_140,climate_1,2035-01-01T01:00:00.000000-0800,6.514400425113724e-18
cats_141,climate_1,2035-01-01T01:00:00.000000-0800,1.1
cats_142,climate_1,2035-01-01T01:00:00.000000-0800,1.0120000000000002
cats_143,climate_1,2035-01-01T01:00:00.000000-0800,7.298102087618924e-18
cats_144,climate_1,2035-01-01T01:00:00.000000-0800,6.050324578501945e-17
cats_145,climate_1,2035-01-01T01:00:00.000000-0800,1.513415625393775e-17
cats_146,climate_1,2035-01-01T01:00:00.000000-0800,-7.962611902083916e-16
cats_147,climate_1,2035-01-01T01:00:00.000000-0800,0.0
cats_148,climate_1,2035-01-01T01:00:00.000000-0800,9.66775244632104e-17
cats_149,climate_1,2035-01-01T01:00:00.000000-0800,1.3
cats_1,climate_1,2035-01-01T02:00:00.000000-0800,4.547221368596765e-16
cats_2,climate_1,2035-01-01T02:00:00.000000-0800,1.0491314549012649e-15
cats_3,climate_1,2035-01-01T02:00:00.000000-0800,6350.911740064753
cats_4,climate_1,2035-01-01T02:00:00.000000-0800,0.0
cats_5,climate_1,2035-01-01T02:00:00.000000-0800,38.625391304347836
cats_6,climate_1,2035-01-01T02:00:00.000000-0800,38.62539130434784
cats_7,climate_1,2035-01-01T02:00:00.000000-0800,38.62539130434783
cats_8,climate_1,2035-01-01T02:00:00.000000-0800,38.62539130434782
cats_9,climate_1,2035-01-01T02:00:00.000000-0800,38.62539130434782
cats_10,climate_1,2035-01-01T02:00:00.000000-0800,38.62539130434784
cats_11,climate_1,2035-01-01T02:00:00.000000-0800,195.04
cats_12,climate_1,2035-01-01T02:00:00.000000-0800,195.04000000000005
cats_13,climate_1,2035-01-01T02:00:00.000000-0800,195.04000000000005
cats_14,climate_1,2035-01-01T02:00:00.000000-0800,195.04000000000002
cats_15,climate_1,2035-01-01T02:00:00.000000-0800,195.04000000000002
cats_16,climate_1,2035-01-01T02:00:00.000000-0800,199.11840096019526
cats_17,climate_1,2035-01-01T02:00:00.000000-0800,195.04000000000002
cats_18,climate_1,2035-01-01T02:00:00.000000-0800,195.04000000000002
cats_19,climate_1,2035-01-01T02:00:00.000000-0800,-3.378907064465529e-16
cats_20,climate_1,2035-01-01T02:00:00.000000-0800,8.306921199847684e-16
cats_21,climate_1,2035-01-01T02:00:00.000000-0800,504.0
cats_22,climate_1,2035-01-01T02:00:00.000000-0800,504.0
cats_23,climate_1,2035-01-01T02:00:00.000000-0800,400.6859431301003
cats_24,climate_1,2035-01-01T02:00:00.000000-0800,124.0
cats_25,climate_1,2035-01-01T02:00:00.000000-0800,0.0
cats_26,climate_1,2035-01-01T02:00:00.000000-0800,-2.5449447951335412e-17
cats_27,climate_1,2035-01-01T02:00:00.000000-0800,0.0
cats_28,climate_1,2035-01-01T02:00:00.000000-0800,7.496241583200558e-18
cats_29,climate_1,2035-01-01T02:00:00.000000-0800,0.0
cats_30,climate_1,2035-01-01T02:00:00.000000-0800,-1.8913646215624518e-16
cats_31,climate_1,2035-01-01T02:00:00.000000-0800,-1.735330428023074e-16
cats_32,climate_1,2035-01-01T02:00:00.000000-0800,0.0
cats_33,climate_1,2035-01-01T02:00:00.000000-0800,-1.9402049956776135e-17
cats_34,climate_1,2035-01-01T02:00:00.000000-0800,-2.638221227681855e-16
cats_35,climate_1,2035-01-01T02:00:00.000000-0800,47.565217391304365
cats_36,climate_1,2035-01-01T02:00:00.000000-0800,41.92339169442203
cats_37,climate_1,2035-01-01T02:00:00.000000-0800,413.6
cats_38,climate_1,2035-01-01T02:00:00.000000-0800,232.72173913043477
cats_39,climate_1,2035-01-01T02:00:00.000000-0800,-1.37266377847928e-15
cats_40,climate_1,2035-01-01T02:00:00.000000-0800,-1.396908207766071e-17
cats_41,climate_1,2035-01-01T02:00:00.000000-0800,-1.8743911624797786e-16
cats_42,climate_1,2035-01-01T02:00:00.000000-0800,1.4839008278899881e-16
cats_43,climate_1,2035-01-01T02:00:00.000000-0800,0.9130434782608696
cats_44,climate_1,2035-01-01T02:00:00.000000-0800,3.1491551318595757e-17
cats_45,climate_1,2035-01-01T02:00:00.000000-0800,2.2460481494766663e-17
cats_46,climate_1,2035-01-01T02:00:00.000000-0800,0.24000000000000019
cats_47,climate_1,2035-01-01T02:00:00.000000-0800,2.08
