generator,scenario,timepoint,DispatchGen_MW
cats_1277,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1278,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1279,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1280,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1281,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1282,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1283,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1284,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1285,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1286,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1287,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1288,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1289,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1290,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1291,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1292,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1293,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1294,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1295,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1296,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1297,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1298,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1299,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1300,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1301,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1302,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1303,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1304,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1305,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1306,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1307,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1308,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1309,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1310,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1311,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1312,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1313,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1314,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1315,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1316,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1317,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1318,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1319,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1320,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1321,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1322,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1323,climate_1,2035-01-01T00:00:00.000000-0800,0.0
