generator,timepoint,DispatchGen_MW
cats_252,2035-01-01T00:00:00.000000-0800,0.0
cats_253,2035-01-01T00:00:00.000000-0800,27.7
cats_254,2035-01-01T00:00:00.000000-0800,0.0
cats_255,2035-01-01T00:00:00.000000-0800,0.0
cats_256,2035-01-01T00:00:00.000000-0800,0.0
cats_257,2035-01-01T00:00:00.000000-0800,41.2
cats_258,2035-01-01T00:00:00.000000-0800,10.2
cats_259,2035-01-01T00:00:00.000000-0800,0.0
cats_260,2035-01-01T00:00:00.000000-0800,0.0
cats_261,2035-01-01T00:00:00.000000-0800,0.0
cats_262,2035-01-01T00:00:00.000000-0800,0.0
cats_263,2035-01-01T00:00:00.000000-0800,0.0
cats_264,2035-01-01T00:00:00.000000-0800,0.0
cats_265,2035-01-01T00:00:00.000000-0800,0.0
cats_266,2035-01-01T00:00:00.000000-0800,0.0
cats_267,2035-01-01T00:00:00.000000-0800,0.0
cats_268,2035-01-01T00:00:00.000000-0800,289.0
cats_269,2035-01-01T00:00:00.000000-0800,289.0
cats_270,2035-01-01T00:00:00.000000-0800,289.0
cats_271,2035-01-01T00:00:00.000000-0800,289.0
cats_272,2035-01-01T00:00:00.000000-0800,0.0
cats_273,2035-01-01T00:00:00.000000-0800,0.0
cats_274,2035-01-01T00:00:00.000000-0800,0.0
cats_275,2035-01-01T00:00:00.000000-0800,0.0
cats_276,2035-01-01T00:00:00.000000-0800,0.0
cats_277,2035-01-01T00:00:00.000000-0800,127.4581123891398
cats_278,2035-01-01T00:00:00.000000-0800,0.0
cats_279,2035-01-01T00:00:00.000000-0800,182.0
cats_280,2035-01-01T00:00:00.000000-0800,182.0
cats_281,2035-01-01T00:00:00.000000-0800,227.0
cats_282,2035-01-01T00:00:00.000000-0800,0.0
cats_283,2035-01-01T00:00:00.000000-0800,0.0
cats_284,2035-01-01T00:00:00.000000-0800,0.0
cats_285,2035-01-01T00:00:00.000000-0800,0.0
cats_286,2035-01-01T00:00:00.000000-0800,198.89999999999998
cats_287,2035-01-01T00:00:00.000000-0800,198.9
cats_288,2035-01-01T00:00:00.000000-0800,290.70000000000005
cats_289,2035-01-01T00:00:00.000000-0800,200.0
cats_290,2035-01-01T00:00:00.000000-0800,200.0
cats_291,2035-01-01T00:00:00.000000-0800,235.0
