bus,bus_type,unused_node,voltage_kV
833,PQ,FALSE,66
834,PQ,FALSE,66
835,PQ,FALSE,66
836,PQ,FALSE,66
837,PQ,FALSE,66
838,PV,FALSE,66
839,PV,FALSE,66
840,PQ,FALSE,66
841,PQ,FALSE,66
842,PQ,FALSE,66
843,PQ,FALSE,66
844,PQ,FALSE,66
845,PQ,FALSE,115
846,PQ,FALSE,66
847,PQ,FALSE,66
848,PQ,FALSE,66
849,PQ,FALSE,66
850,PQ,FALSE,66
851,PQ,FALSE,66
852,PQ,FALSE,66
853,PQ,FALSE,66
854,PQ,FALSE,66
855,PQ,FALSE,66
856,PQ,FALSE,66
857,PQ,FALSE,66
858,PQ,FALSE,66
859,PV,FALSE,66
860,PQ,FALSE,66
861,PQ,FALSE,66
862,PQ,FALSE,66
863,PQ,FALSE,66
864,PQ,FALSE,115
865,PQ,FALSE,66
866,PQ,FALSE,66
867,PQ,FALSE,66
868,PQ,FALSE,66
869,PQ,FALSE,66
870,PQ,FALSE,66
871,PQ,FALSE,66
872,PQ,FALSE,66
873,PQ,FALSE,66
874,PQ,FALSE,66
875,PQ,FALSE,66
876,PQ,FALSE,66
877,PV,FALSE,66
878,PQ,FALSE,66
879,PQ,FALSE,66
880,PQ,FALSE,66
881,PQ,FALSE,66
882,PQ,FALSE,66
883,PV,FALSE,66
884,PQ,FALSE,66
885,PQ,FALSE,66
886,PQ,FALSE,66
887,PQ,FALSE,66
888,PQ,FALSE,66
889,PQ,FALSE,66
890,PQ,FALSE,66
891,PQ,FALSE,66
892,PQ,FALSE,66
893,PV,FALSE,66
894,PQ,FALSE,66
895,PQ,FALSE,66
896,PQ,FALSE,66
897,PQ,FALSE,66
898,PQ,FALSE,66
899,PQ,FALSE,66
900,PQ,FALSE,66
901,PQ,FALSE,66
902,PQ,FALSE,66
903,PQ,FALSE,66
904,PQ,FALSE,66
905,PQ,FALSE,66
906,PQ,FALSE,66
907,PQ,FALSE,230
908,PQ,FALSE,66
909,PV,FALSE,66
910,PQ,FALSE,66
911,PQ,FALSE,66
912,PQ,FALSE,66
913,PQ,FALSE,66
914,PQ,FALSE,66
915,PV,FALSE,66
916,PQ,FALSE,66
917,PV,FALSE,66
918,PQ,FALSE,66
919,PQ,FALSE,66
920,PQ,FALSE,66
921,PQ,FALSE,66
922,PQ,FALSE,66
923,PQ,FALSE,66
924,PQ,FALSE,66
925,PQ,FALSE,66
926,PQ,FALSE,66
927,PQ,FALSE,66
928,PQ,FALSE,66
929,PQ,FALSE,66
930,PQ,FALSE,66
931,PQ,FALSE,66
932,PQ,FALSE,66
933,PQ,FALSE,66
934,PQ,FALSE,66
935,PQ,FALSE,66
936,PQ,FALSE,66
937,PQ,FALSE,66
938,PQ,FALSE,66
939,PQ,FALSE,66
940,PQ,FALSE,66
941,PQ,FALSE,66
942,PQ,FALSE,66
943,PQ,FALSE,66
944,PQ,FALSE,66
945,PV,FALSE,66
946,PQ,FALSE,66
947,PQ,FALSE,66
948,PQ,FALSE,66
949,PQ,FALSE,66
950,PQ,FALSE,66
951,PQ,FALSE,66
952,PQ,FALSE,66
953,PQ,FALSE,66
954,PQ,FALSE,66
955,PQ,FALSE,66
956,PQ,FALSE,66
957,PV,FALSE,66
958,PQ,FALSE,66
959,PQ,FALSE,66
960,PQ,FALSE,66
961,PQ,FALSE,66
962,PQ,FALSE,230
963,PQ,FALSE,66
964,PQ,FALSE,66
965,PQ,FALSE,66
966,PQ,FALSE,66
967,PQ,FALSE,66
968,PQ,FALSE,66
969,PQ,FALSE,66
970,PQ,FALSE,66
971,PQ,FALSE,66
972,PQ,FALSE,66
973,PQ,FALSE,66
974,PV,FALSE,66
975,PV,FALSE,66
976,PQ,FALSE,66
977,PQ,FALSE,66
978,PQ,FALSE,66
979,PQ,FALSE,66
980,PQ,FALSE,66
981,PQ,FALSE,66
982,PQ,FALSE,66
983,PQ,FALSE,66
984,PQ,FALSE,66
985,PQ,FALSE,66
986,PQ,FALSE,66
987,PQ,FALSE,66
988,PQ,FALSE,230
989,PV,FALSE,66
990,PV,FALSE,66
991,PQ,FALSE,66
992,PQ,FALSE,115
993,PV,FALSE,115
994,PQ,FALSE,66
995,PV,FALSE,66
996,PQ,FALSE,66
997,PQ,FALSE,66
998,PV,FALSE,115
999,PV,FALSE,66
1000,PV,FALSE,66
1001,PQ,FALSE,66
1002,PQ,FALSE,66
1003,PQ,FALSE,66
1004,PQ,FALSE,66
1005,PV,FALSE,115
1006,PV,FALSE,66
1007,PQ,FALSE,66
1008,PQ,FALSE,66
1009,PQ,FALSE,66
1010,PQ,FALSE,66
1011,PQ,FALSE,66
1012,PQ,FALSE,115
1013,PV,FALSE,115
1014,PQ,FALSE,66
1015,PQ,FALSE,66
1016,PV,FALSE,66
1017,PQ,FALSE,66
1018,PV,FALSE,66
1019,PV,FALSE,115
1020,PQ,FALSE,115
1021,PQ,FALSE,66
1022,PQ,FALSE,66
1023,PQ,FALSE,115
1024,PQ,FALSE,66
1025,PV,FALSE,115
1026,PQ,FALSE,66
1027,PQ,FALSE,230
1028,PQ,FALSE,66
1029,PQ,FALSE,66
1030,PQ,FALSE,115
1031,PV,FALSE,66
1032,PQ,FALSE,66
1033,PQ,FALSE,115
1034,PV,FALSE,115
1035,PV,FALSE,66
1036,PQ,FALSE,66
1037,PV,FALSE,66
1038,PV,FALSE,115
1039,PQ,FALSE,66
1040,PV,FALSE,66
1041,PV,FALSE,66
1042,PQ,FALSE,115
1043,PQ,FALSE,115
1044,PQ,FALSE,66
1045,PV,FALSE,66
1046,PQ,FALSE,66
1047,PQ,FALSE,66
1048,PQ,FALSE,230
1049,PQ,FALSE,66
1050,PV,FALSE,66
1051,PV,FALSE,66
1052,PQ,FALSE,66
1053,PV,FALSE,66
1054,PQ,FALSE,66
1055,PQ,FALSE,66
1056,PV,FALSE,115
1057,PV,FALSE,115
1058,PV,FALSE,115
1059,PV,FALSE,66
1060,PQ,FALSE,66
1061,PV,FALSE,115
1062,PQ,FALSE,66
1063,PQ,FALSE,66
1064,PQ,FALSE,66
1065,PQ,FALSE,66
