bus,storage,c0_USD,c1_USDperMWh,c2_USDperMWh2,cap_existing_energy_MWh,cap_existing_power_MW,cap_max_power_MW,cost_fixed_energy_USDperkWh,cost_fixed_power_USDperkW,cost_variable_USDperMWh,duration_hr,efficiency_charge,efficiency_discharge,technology
165,new_93,0,0,0,0,0,132,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
166,new_94,0,0,0,0,0,132,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
170,new_95,0,0,0,0,0,132,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
174,new_96,0,0,0,0,0,460,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
175,new_97,0,0,0,0,0,132,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
181,new_98,0,0,0,0,0,230,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
182,new_99,0,0,0,0,0,230,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
184,new_100,0,0,0,0,0,230,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
185,new_101,0,0,0,0,0,230,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
187,new_102,0,0,0,0,0,230,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
188,new_103,0,0,0,0,0,230,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
189,new_104,0,0,0,0,0,230,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
190,new_105,0,0,0,0,0,230,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
191,new_106,0,0,0,0,0,230,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
192,new_107,0,0,0,0,0,132,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
194,new_108,0,0,0,0,0,230,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
195,new_109,0,0,0,0,0,132,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
196,new_110,0,0,0,0,0,230,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
197,new_111,0,0,0,0,0,230,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
198,new_112,0,0,0,0,0,230,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
200,new_113,0,0,0,0,0,132,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
202,new_114,0,0,0,0,0,230,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
203,new_115,0,0,0,0,0,230,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
204,new_116,0,0,0,0,0,132,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
205,new_117,0,0,0,0,0,230,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
206,new_118,0,0,0,0,0,132,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
207,new_119,0,0,0,0,0,132,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
209,new_120,0,0,0,0,0,230,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
210,new_121,0,0,0,0,0,230,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
218,new_122,0,0,0,0,0,230,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
219,new_123,0,0,0,0,0,230,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
220,new_124,0,0,0,0,0,460,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
225,new_125,0,0,0,0,0,132,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
226,new_126,0,0,0,0,0,132,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
227,new_127,0,0,0,0,0,230,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
228,new_128,0,0,0,0,0,132,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
229,new_129,0,0,0,0,0,132,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
233,new_130,0,0,0,0,0,132,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
234,new_131,0,0,0,0,0,230,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
235,new_132,0,0,0,0,0,132,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
236,new_133,0,0,0,0,0,230,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
238,new_134,0,0,0,0,0,230,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
239,new_135,0,0,0,0,0,230,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
240,new_136,0,0,0,0,0,132,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
241,new_137,0,0,0,0,0,132,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
242,new_138,0,0,0,0,0,230,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
243,new_139,0,0,0,0,0,230,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
244,new_140,0,0,0,0,0,230,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
245,new_141,0,0,0,0,0,230,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
248,new_142,0,0,0,0,0,230,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
249,new_143,0,0,0,0,0,132,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
253,new_144,0,0,0,0,0,132,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
254,new_145,0,0,0,0,0,230,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
257,new_146,0,0,0,0,0,230,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
258,new_147,0,0,0,0,0,132,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
259,new_148,0,0,0,0,0,132,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
261,new_149,0,0,0,0,0,230,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
262,new_150,0,0,0,0,0,132,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
263,new_151,0,0,0,0,0,230,87.60672606999988,91.54813358431437,0,0,0.92,0.92,batteries
