name,kv,type,lat,lon,slack
778,115,substation,-1,-1,0
779,115,substation,-1,-1,0
780,230,substation,-1,-1,0
781,66,substation,-1,-1,0
782,115,substation,-1,-1,0
783,66,substation,-1,-1,0
784,115,substation,-1,-1,0
785,115,substation,-1,-1,0
786,66,substation,-1,-1,0
787,115,substation,-1,-1,0
788,66,substation,-1,-1,0
789,115,substation,-1,-1,0
790,66,substation,-1,-1,0
791,66,substation,-1,-1,0
792,115,substation,-1,-1,0
793,115,substation,-1,-1,0
794,115,substation,-1,-1,0
795,66,substation,-1,-1,0
796,115,substation,-1,-1,0
797,66,substation,-1,-1,0
798,115,substation,-1,-1,0
799,66,substation,-1,-1,0
800,66,substation,-1,-1,0
801,115,substation,-1,-1,0
802,115,substation,-1,-1,0
803,115,substation,-1,-1,0
804,115,substation,-1,-1,0
805,115,substation,-1,-1,0
806,115,substation,-1,-1,0
807,115,substation,-1,-1,0
808,66,substation,-1,-1,0
809,115,substation,-1,-1,0
810,115,substation,-1,-1,0
811,115,substation,-1,-1,0
812,115,substation,-1,-1,0
813,115,substation,-1,-1,0
814,115,substation,-1,-1,0
815,115,substation,-1,-1,0
816,115,substation,-1,-1,0
817,66,substation,-1,-1,0
818,66,substation,-1,-1,0
819,66,substation,-1,-1,0
820,66,substation,-1,-1,0
821,66,substation,-1,-1,0
822,66,substation,-1,-1,0
823,66,substation,-1,-1,0
824,66,substation,-1,-1,0
825,66,substation,-1,-1,0
826,66,substation,-1,-1,0
827,66,substation,-1,-1,0
828,66,substation,-1,-1,0
829,66,substation,-1,-1,0
830,66,substation,-1,-1,0
831,66,substation,-1,-1,0
832,66,substation,-1,-1,0
833,66,substation,-1,-1,0
834,66,substation,-1,-1,0
835,66,substation,-1,-1,0
836,66,substation,-1,-1,0
837,66,substation,-1,-1,0
838,66,substation,-1,-1,0
839,66,substation,-1,-1,0
840,66,substation,-1,-1,0
841,66,substation,-1,-1,0
842,66,substation,-1,-1,0
843,66,substation,-1,-1,0
844,66,substation,-1,-1,0
845,115,substation,-1,-1,0
846,66,substation,-1,-1,0
847,66,substation,-1,-1,0
848,66,substation,-1,-1,0
849,66,substation,-1,-1,0
850,66,substation,-1,-1,0
851,66,substation,-1,-1,0
852,66,substation,-1,-1,0
853,66,substation,-1,-1,0
854,66,substation,-1,-1,0
855,66,substation,-1,-1,0
856,66,substation,-1,-1,0
857,66,substation,-1,-1,0
858,66,substation,-1,-1,0
859,66,substation,-1,-1,0
860,66,substation,-1,-1,0
861,66,substation,-1,-1,0
862,66,substation,-1,-1,0
863,66,substation,-1,-1,0
864,115,substation,-1,-1,0
865,66,substation,-1,-1,0
866,66,substation,-1,-1,0
867,66,substation,-1,-1,0
868,66,substation,-1,-1,0
869,66,substation,-1,-1,0
870,66,substation,-1,-1,0
871,66,substation,-1,-1,0
872,66,substation,-1,-1,0
873,66,substation,-1,-1,0
874,66,substation,-1,-1,0
875,66,substation,-1,-1,0
876,66,substation,-1,-1,0
877,66,substation,-1,-1,0
878,66,substation,-1,-1,0
879,66,substation,-1,-1,0
880,66,substation,-1,-1,0
881,66,substation,-1,-1,0
882,66,substation,-1,-1,0
883,66,substation,-1,-1,0
884,66,substation,-1,-1,0
885,66,substation,-1,-1,0
886,66,substation,-1,-1,0
887,66,substation,-1,-1,0
888,66,substation,-1,-1,0
889,66,substation,-1,-1,0
890,66,substation,-1,-1,0
891,66,substation,-1,-1,0
892,66,substation,-1,-1,0
893,66,substation,-1,-1,0
894,66,substation,-1,-1,0
895,66,substation,-1,-1,0
896,66,substation,-1,-1,0
897,66,substation,-1,-1,0
898,66,substation,-1,-1,0
899,66,substation,-1,-1,0
900,66,substation,-1,-1,0
901,66,substation,-1,-1,0
902,66,substation,-1,-1,0
903,66,substation,-1,-1,0
904,66,substation,-1,-1,0
905,66,substation,-1,-1,0
906,66,substation,-1,-1,0
907,230,substation,-1,-1,0
908,66,substation,-1,-1,0
909,66,substation,-1,-1,0
910,66,substation,-1,-1,0
911,66,substation,-1,-1,0
912,66,substation,-1,-1,0
913,66,substation,-1,-1,0
914,66,substation,-1,-1,0
915,66,substation,-1,-1,0
916,66,substation,-1,-1,0
917,66,substation,-1,-1,0
918,66,substation,-1,-1,0
919,66,substation,-1,-1,0
920,66,substation,-1,-1,0
921,66,substation,-1,-1,0
922,66,substation,-1,-1,0
923,66,substation,-1,-1,0
924,66,substation,-1,-1,0
925,66,substation,-1,-1,0
926,66,substation,-1,-1,0
927,66,substation,-1,-1,0
928,66,substation,-1,-1,0
929,66,substation,-1,-1,0
