gen_name,sc_name,tp_name,capacity_factor
847,sc1,1,1
848,sc1,1,1
849,sc1,1,1
850,sc1,1,1
851,sc1,1,1
852,sc1,1,1
853,sc1,1,1
854,sc1,1,1
855,sc1,1,1
856,sc1,1,1
857,sc1,1,1
858,sc1,1,1
859,sc1,1,1
860,sc1,1,1
861,sc1,1,1
862,sc1,1,1
863,sc1,1,1
864,sc1,1,1
865,sc1,1,1
866,sc1,1,1
867,sc1,1,1
868,sc1,1,1
869,sc1,1,1
870,sc1,1,1
871,sc1,1,1
872,sc1,1,1
873,sc1,1,1
874,sc1,1,1
875,sc1,1,1
876,sc1,1,1
877,sc1,1,1
878,sc1,1,1
879,sc1,1,1
880,sc1,1,1
881,sc1,1,1
882,sc1,1,1
883,sc1,1,1
884,sc1,1,1
885,sc1,1,1
886,sc1,1,1
887,sc1,1,1
888,sc1,1,1
889,sc1,1,1
890,sc1,1,1
891,sc1,1,1
892,sc1,1,1
893,sc1,1,1
894,sc1,1,1
895,sc1,1,1
896,sc1,1,1
897,sc1,1,1
898,sc1,1,1
899,sc1,1,1
900,sc1,1,1
901,sc1,1,1
902,sc1,1,1
903,sc1,1,1
904,sc1,1,1
905,sc1,1,1
906,sc1,1,1
907,sc1,1,1
908,sc1,1,1
909,sc1,1,1
910,sc1,1,1
911,sc1,1,1
912,sc1,1,1
913,sc1,1,1
914,sc1,1,1
915,sc1,1,1
916,sc1,1,1
917,sc1,1,1
918,sc1,1,1
919,sc1,1,1
920,sc1,1,1
921,sc1,1,1
922,sc1,1,1
923,sc1,1,1
924,sc1,1,1
925,sc1,1,1
926,sc1,1,1
927,sc1,1,1
928,sc1,1,1
929,sc1,1,1
930,sc1,1,1
931,sc1,1,1
932,sc1,1,1
933,sc1,1,1
934,sc1,1,1
935,sc1,1,1
936,sc1,1,1
937,sc1,1,1
938,sc1,1,1
939,sc1,1,1
940,sc1,1,1
941,sc1,1,1
942,sc1,1,1
943,sc1,1,1
944,sc1,1,1
945,sc1,1,1
946,sc1,1,1
947,sc1,1,1
948,sc1,1,1
949,sc1,1,1
950,sc1,1,1
951,sc1,1,1
952,sc1,1,1
953,sc1,1,1
954,sc1,1,1
955,sc1,1,1
956,sc1,1,1
957,sc1,1,1
958,sc1,1,1
959,sc1,1,1
960,sc1,1,1
961,sc1,1,1
962,sc1,1,1
963,sc1,1,1
964,sc1,1,1
965,sc1,1,1
966,sc1,1,1
967,sc1,1,1
968,sc1,1,1
969,sc1,1,1
970,sc1,1,1
971,sc1,1,1
972,sc1,1,1
973,sc1,1,1
974,sc1,1,1
975,sc1,1,1
976,sc1,1,1
977,sc1,1,1
978,sc1,1,1
979,sc1,1,1
980,sc1,1,1
981,sc1,1,1
982,sc1,1,1
983,sc1,1,1
984,sc1,1,1
985,sc1,1,1
986,sc1,1,1
987,sc1,1,1
988,sc1,1,1
989,sc1,1,1
990,sc1,1,1
991,sc1,1,1
992,sc1,1,1
993,sc1,1,1
994,sc1,1,1
995,sc1,1,1
996,sc1,1,1
997,sc1,1,1
998,sc1,1,1
999,sc1,1,1
1000,sc1,1,1
1001,sc1,1,1
1002,sc1,1,1
1003,sc1,1,1
1004,sc1,1,1
1005,sc1,1,1
1006,sc1,1,1
1007,sc1,1,1
1008,sc1,1,1
1009,sc1,1,1
1010,sc1,1,1
1011,sc1,1,1
1012,sc1,1,1
1013,sc1,1,1
1014,sc1,1,1
1015,sc1,1,1
1016,sc1,1,1
1017,sc1,1,1
1018,sc1,1,1
1019,sc1,1,1
1020,sc1,1,1
1021,sc1,1,1
1022,sc1,1,1
1023,sc1,1,1
1024,sc1,1,1
1025,sc1,1,1
1026,sc1,1,1
1027,sc1,1,1
1028,sc1,1,1
1029,sc1,1,1
1030,sc1,1,1
1031,sc1,1,1
1032,sc1,1,1
1033,sc1,1,1
1034,sc1,1,1
1035,sc1,1,1
1036,sc1,1,1
1037,sc1,1,1
1038,sc1,1,1
1039,sc1,1,1
1040,sc1,1,1
1041,sc1,1,1
1042,sc1,1,1
1043,sc1,1,1
1044,sc1,1,1
1045,sc1,1,1
1046,sc1,1,1
1047,sc1,1,1
1048,sc1,1,1
1049,sc1,1,1
1050,sc1,1,1
1051,sc1,1,1
1052,sc1,1,1
1053,sc1,1,1
1054,sc1,1,1
1055,sc1,1,1
1056,sc1,1,1
1057,sc1,1,1
1058,sc1,1,1
1059,sc1,1,1
1060,sc1,1,1
1061,sc1,1,1
1062,sc1,1,1
1063,sc1,1,1
1064,sc1,1,1
1065,sc1,1,1
1066,sc1,1,1
1067,sc1,1,1
1068,sc1,1,1
1069,sc1,1,1
1070,sc1,1,1
1071,sc1,1,1
1072,sc1,1,1
1073,sc1,1,1
1074,sc1,1,1
1075,sc1,1,1
1076,sc1,1,1
1077,sc1,1,1
1078,sc1,1,1
1079,sc1,1,1
1080,sc1,1,1
1081,sc1,1,1
1082,sc1,1,1
1083,sc1,1,1
1084,sc1,1,1
1085,sc1,1,1
1086,sc1,1,1
1087,sc1,1,1
1088,sc1,1,1
1089,sc1,1,1
1090,sc1,1,1
1091,sc1,1,1
1092,sc1,1,1
1093,sc1,1,1
1094,sc1,1,1
1095,sc1,1,1
1096,sc1,1,1
1097,sc1,1,1
1098,sc1,1,1
1099,sc1,1,1
1100,sc1,1,1
1101,sc1,1,1
1102,sc1,1,1
1103,sc1,1,1
1104,sc1,1,1
1105,sc1,1,1
1106,sc1,1,1
1107,sc1,1,1
1108,sc1,1,1
1109,sc1,1,1
1110,sc1,1,1
1111,sc1,1,1
1112,sc1,1,1
1113,sc1,1,1
1114,sc1,1,1
1115,sc1,1,1
1116,sc1,1,1
1117,sc1,1,1
1118,sc1,1,1
1119,sc1,1,1
1120,sc1,1,1
1121,sc1,1,1
1122,sc1,1,1
1123,sc1,1,1
1124,sc1,1,1
1125,sc1,1,1
1126,sc1,1,1
1127,sc1,1,1
1128,sc1,1,1
1129,sc1,1,1
1130,sc1,1,1
1131,sc1,1,1
1132,sc1,1,1
1133,sc1,1,1
1134,sc1,1,1
1135,sc1,1,1
1136,sc1,1,1
1137,sc1,1,1
1138,sc1,1,1
1139,sc1,1,1
1140,sc1,1,1
1141,sc1,1,1
1142,sc1,1,1
1143,sc1,1,1
1144,sc1,1,1
1145,sc1,1,1
1146,sc1,1,1
1147,sc1,1,1
1148,sc1,1,1
1149,sc1,1,1
1150,sc1,1,1
1151,sc1,1,1
1152,sc1,1,1
1153,sc1,1,1
1154,sc1,1,1
1155,sc1,1,1
1156,sc1,1,1
1157,sc1,1,1
1158,sc1,1,1
1159,sc1,1,1
1160,sc1,1,1
1161,sc1,1,1
1162,sc1,1,1
1163,sc1,1,1
1164,sc1,1,1
1165,sc1,1,1
1166,sc1,1,1
1167,sc1,1,1
1168,sc1,1,1
1169,sc1,1,1
1170,sc1,1,1
1171,sc1,1,1
1172,sc1,1,1
1173,sc1,1,1
1174,sc1,1,1
1175,sc1,1,1
1176,sc1,1,1
1177,sc1,1,1
1178,sc1,1,1
1179,sc1,1,1
1180,sc1,1,1
1181,sc1,1,1
1182,sc1,1,1
1183,sc1,1,1
1184,sc1,1,1
1185,sc1,1,1
1186,sc1,1,1
1187,sc1,1,1
1188,sc1,1,1
1189,sc1,1,1
1190,sc1,1,1
1191,sc1,1,1
1192,sc1,1,1
1193,sc1,1,1
1194,sc1,1,1
1195,sc1,1,1
1196,sc1,1,1
1197,sc1,1,1
1198,sc1,1,1
1199,sc1,1,1
1200,sc1,1,1
1201,sc1,1,1
1202,sc1,1,1
1203,sc1,1,1
1204,sc1,1,1
1205,sc1,1,1
1206,sc1,1,1
1207,sc1,1,1
1208,sc1,1,1
1209,sc1,1,1
1210,sc1,1,1
1211,sc1,1,1
1212,sc1,1,1
1213,sc1,1,1
1214,sc1,1,1
1215,sc1,1,1
1216,sc1,1,1
1217,sc1,1,1
1218,sc1,1,1
1219,sc1,1,1
1220,sc1,1,1
1221,sc1,1,1
1222,sc1,1,1
